Year,Round,RaceName,Driver,Team,SprintPosition,SprintGrid,SprintPoints,Status,Laps,Finished,ShootoutPosition,SprintAvgLapTime,MainQualiTime,SprintPaceDelta,Driver_encoded,Team_encoded,Circuit_encoded,Driver_Sprint_Avg_Last3,Team_Sprint_Avg_Last3,MainRace_Avg_Last5,Team_Championship_Points
2022,21,São Paulo Grand Prix,BOT,Alfa Romeo,14.0,18.0,0.0,Finished,24.0,1,14.0,76.80234782608696,,0.0,5,0,26,6.0,12.333333333333334,15.8,53.0
2022,21,São Paulo Grand Prix,TSU,AlphaTauri,15.0,19.0,0.0,Finished,24.0,1,15.0,77.17782608695653,,0.0,32,2,26,14.666666666666666,14.0,12.8,142.0
2022,21,São Paulo Grand Prix,STR,Aston Martin,16.0,15.0,0.0,Finished,24.0,1,16.0,76.86873913043478,,0.0,31,4,26,14.0,13.666666666666666,15.6,266.0
2022,21,São Paulo Grand Prix,OCO,Alpine,17.0,6.0,0.0,Finished,24.0,1,17.0,77.46178260869566,72.425,0.0103755057218761,23,3,26,10.333333333333334,14.0,10.8,170.0
2022,21,São Paulo Grand Prix,ALO,Alpine,18.0,7.0,0.0,Finished,24.0,1,18.0,76.18950000000001,72.504,-0.0073268018628449,1,3,26,13.666666666666666,14.333333333333334,11.2,170.0
2022,21,São Paulo Grand Prix,LAT,Williams,19.0,16.0,0.0,Finished,24.0,1,19.0,78.3551304347826,,0.0,15,15,26,17.666666666666668,17.666666666666668,15.8,124.0
2022,21,São Paulo Grand Prix,ALB,Williams,20.0,11.0,0.0,Retired,12.0,0,20.0,76.82263636363636,,0.0,0,15,26,17.0,17.666666666666668,13.2,124.0
2023,4,Azerbaijan Grand Prix,PER,Red Bull Racing,1.0,2.0,8.0,Finished,17.0,1,3.0,104.26666666666668,100.495,-0.0090325013613109,24,14,3,4.333333333333333,4.666666666666667,14.8,790.0
2023,4,Azerbaijan Grand Prix,LEC,Ferrari,2.0,1.0,7.0,Finished,17.0,1,1.0,104.67041666666668,100.203,-0.0023377930212038,17,7,3,3.3333333333333335,3.6666666666666665,7.6,595.0
2023,4,Azerbaijan Grand Prix,VER,Red Bull Racing,3.0,3.0,6.0,Finished,17.0,1,2.0,104.66883333333332,100.391,-0.0042101654570746,33,14,3,2.0,3.3333333333333335,2.4,790.0
2023,4,Azerbaijan Grand Prix,RUS,Mercedes,4.0,4.0,5.0,Finished,17.0,1,11.0,104.95916666666668,,0.0,28,11,3,5.333333333333333,4.0,3.6,604.5
2023,4,Azerbaijan Grand Prix,SAI,Ferrari,5.0,5.0,4.0,Finished,17.0,1,4.0,105.07841666666668,101.016,-0.0065203360865578,29,7,3,3.0,3.3333333333333335,9.8,595.0
2023,4,Azerbaijan Grand Prix,ALO,Aston Martin,6.0,8.0,3.0,Finished,17.0,1,6.0,105.13825,101.253,-0.0082973025558561,1,4,3,15.666666666666666,14.666666666666666,11.2,266.0
2023,4,Azerbaijan Grand Prix,HAM,Mercedes,7.0,6.0,2.0,Finished,17.0,1,5.0,105.58483333333334,101.177,-0.0033324925230655,12,11,3,8.333333333333334,2.6666666666666665,10.0,604.5
2023,4,Azerbaijan Grand Prix,STR,Aston Martin,8.0,9.0,1.0,Finished,17.0,1,9.0,105.65016666666668,101.611,-0.0070039131520194,31,4,3,14.666666666666666,10.333333333333334,15.6,266.0
2023,4,Azerbaijan Grand Prix,ALB,Williams,9.0,7.0,0.0,Finished,17.0,1,13.0,105.9495,,0.0,0,15,3,18.0,19.0,13.2,124.0
2023,4,Azerbaijan Grand Prix,PIA,McLaren,10.0,11.0,0.0,Finished,17.0,1,10.0,106.00608333333332,101.611,-0.0036455051207773,25,10,3,10.480167014613778,10.0,10.0,775.0
2023,4,Azerbaijan Grand Prix,MAG,Haas F1 Team,11.0,13.0,0.0,Finished,17.0,1,18.0,106.35375,,0.0,19,8,3,7.666666666666667,9.666666666666666,11.0,73.0
2023,4,Azerbaijan Grand Prix,ZHO,Alfa Romeo,12.0,14.0,0.0,Finished,17.0,1,16.0,106.86308333333334,,0.0,35,0,3,15.666666666666666,13.666666666666666,12.8,53.0
